Region,Year,NumDeathsPerYear,NumAttack
Sub-Saharan Africa,2000,874,4697
Western Europe,2000,39,13692
Australasia & Oceania,2001,0,217
Central America & Caribbean,2001,1,10277
East Asia,2001,9,642
Eastern Europe,2001,286,1617
Middle East & North Africa,2001,744,10030
North America,2001,3021,2897
South America,2001,469,16849
South Asia,2001,1135,8504
Southeast Asia,2001,268,3364
Sub-Saharan Africa,2001,1079,4859
Western Europe,2001,38,13926
Australasia & Oceania,2002,1,219
Central America & Caribbean,2002,0,10280
East Asia,2002,0,646
Eastern Europe,2002,473,1729
Middle East & North Africa,2002,972,10356
North America,2002,4,2930
South America,2002,286,17011
South Asia,2002,1094,8838
Southeast Asia,2002,372,3474
Sub-Saharan Africa,2002,370,4980
Western Europe,2002,7,14046
Australasia & Oceania,2003,1,223
Central America & Caribbean,2003,5,10288
East Asia,2003,1,652
Eastern Europe,2003,335,1829
Middle East & North Africa,2003,972,10666
North America,2003,2,2964
South America,2003,188,17128
South Asia,2003,751,9191
Southeast Asia,2003,327,3619
Sub-Saharan Africa,2003,494,5053
Western Europe,2003,5,14167
Central America & Caribbean,2004,38,10293
East Asia,2004,4,656
Eastern Europe,2004,608,1875
Middle East & North Africa,2004,2423,11158
North America,2004,0,2976
South America,2004,89,17170
South Asia,2004,1574,9560
Southeast Asia,2004,281,3714
Sub-Saharan Africa,2004,317,5087
Western Europe,2004,196,14226
Central America & Caribbean,2005,1,10296
East Asia,2005,12,658
Eastern Europe,2005,157,1951
Middle East & North Africa,2005,3813,12040
North America,2005,2,2998
South America,2005,149,17219
South Asia,2005,1337,10164
Southeast Asia,2005,265,3918
Sub-Saharan Africa,2005,370,5147
Western Europe,2005,60,14330
Australasia & Oceania,2006,0,225
Central America & Caribbean,2006,7,10301
East Asia,2006,0,659
Eastern Europe,2006,59,2021
Middle East & North Africa,2006,4454,13227
North America,2006,8,3013
South America,2006,93,17269
South Asia,2006,2845,11102
Southeast Asia,2006,257,4190
Sub-Saharan Africa,2006,965,5261
Western Europe,2006,6,14428
Australasia & Oceania,2007,0,226
Central America & Caribbean,2007,2,10305
Eastern Europe,2007,57,2083
Middle East & North Africa,2007,6979,14612
North America,2007,25,3031
South America,2007,83,17316
South Asia,2007,3638,12084
Southeast Asia,2007,375,4555
Sub-Saharan Africa,2007,1381,5563
Western Europe,2007,16,14500
Australasia & Oceania,2008,0,234
East Asia,2008,39,684
Eastern Europe,2008,101,2292
Middle East & North Africa,2008,3311,16148
North America,2008,23,3062
South America,2008,109,17460
South Asia,2008,3316,13843
Southeast Asia,2008,395,5069
Sub-Saharan Africa,2008,1308,5943
Western Europe,2008,3,14663
Australasia & Oceania,2009,0,235
Central America & Caribbean,2009,3,10314
East Asia,2009,186,692
Eastern Europe,2009,140,2457
Middle East & North Africa,2009,2616,17509
North America,2009,17,3078
South America,2009,126,17619
South Asia,2009,3424,15788
Southeast Asia,2009,476,5630
Sub-Saharan Africa,2009,1691,6226
Western Europe,2009,15,14845
Australasia & Oceania,2010,0,236
Central America & Caribbean,2010,0,10315
East Asia,2010,7,693
Eastern Europe,2010,225,2718
Middle East & North Africa,2010,2413,18971
North America,2010,3,3102
South America,2010,49,17767
South Asia,2010,3292,17769
Southeast Asia,2010,320,6103
Sub-Saharan Africa,2010,764,6557
Western Europe,2010,5,14978
Central America & Caribbean,2011,2,10316
East Asia,2011,19,697
Eastern Europe,2011,163,2916
Middle East & North Africa,2011,2435,20634
North America,2011,0,3114
South America,2011,24,17873
South Asia,2011,3135,19907
Southeast Asia,2011,264,6459
Sub-Saharan Africa,2011,1076,7051
Western Europe,2011,83,15073
Central America & Caribbean,2012,,10317
East Asia,2012,,701
Eastern Europe,2012,112,3089
Middle East & North Africa,2012,2728,23043
North America,2012,13,3153
South America,2012,38,18006
South Asia,2012,4170,23710
